iter	Passed	Remaining
321	2934	6179
322	2942	6167
323	2949	6154
324	2956	6140
325	2963	6126
326	2970	6113
327	2978	6101
328	2985	6089
329	2993	6076
330	3000	6064
331	3007	6051
332	3014	6037
333	3025	6033
334	3034	6023
335	3043	6014
336	3051	6002
337	3058	5991
338	3067	5981
339	3075	5970
340	3084	5961
341	3094	5952
342	3102	5942
343	3111	5933
344	3119	5922
345	3128	5914
346	3136	5902
347	3144	5891
348	3154	5884
349	3163	5875
350	3173	5867
351	3182	5858
352	3191	5850
353	3200	5839
354	3209	5830
355	3217	5820
356	3227	5812
357	3236	5803
358	3244	5792
359	3252	5782
360	3261	5773
361	3270	5764
362	3277	5752
363	3286	5741
364	3294	5731
365	3302	5720
366	3308	5707
367	3316	5696
368	3338	5709
369	3347	5699
370	3355	5688
371	3365	5680
372	3373	5670
373	3382	5662
374	3391	5652
375	3399	5642
376	3411	5637
377	3420	5628
378	3430	5620
379	3440	5613
380	3449	5603
381	3457	5593
382	3466	5585
383	3474	5573
384	3482	5562
385	3490	5552
386	3498	5541
387	3507	5532
388	3515	5521
389	3522	5510
390	3531	5500
391	3541	5493
392	3549	5482
393	3557	5471
394	3565	5460
395	3572	5449
396	3580	5437
397	3587	5426
398	3595	5415
399	3604	5406
400	3611	5394
401	3618	5383
402	3625	5371
403	3633	5360
404	3640	5347
405	3648	5337
406	3654	5325
407	3662	5313
408	3669	5302
409	3676	5291
410	3683	5279
411	3692	5269
412	3699	5258
413	3707	5247
414	3714	5236
415	3721	5224
416	3728	5213
417	3736	5201
418	3742	5189
419	3749	5177
420	3756	5166
421	3764	5155
422	3771	5144
423	3778	5132
424	3785	5121
425	3791	5109
426	3799	5098
427	3806	5087
428	3815	5078
429	3823	5068
430	3830	5057
431	3838	5046
432	3845	5035
433	3852	5024
434	3859	5012
435	3866	5001
436	3873	4990
437	3881	4979
438	3887	4968
439	3895	4958
440	3902	4946
441	3910	4937
442	3918	4927
443	3926	4917
444	3934	4907
445	3942	4897
446	3950	4887
447	3958	4877
448	3965	4866
449	3972	4855
450	3980	4845
451	3988	4835
452	3995	4825
453	4003	4814
454	4012	4806
455	4020	4796
456	4029	4787
457	4036	4777
458	4044	4766
459	4051	4756
460	4058	4745
461	4066	4735
462	4074	4725
463	4082	4715
464	4089	4705
465	4097	4695
466	4104	4684
467	4111	4674
468	4119	4664
469	4127	4654
470	4136	4645
471	4145	4637
472	4153	4627
473	4161	4618
474	4169	4608
475	4176	4597
476	4184	4587
477	4191	4576
478	4198	4566
479	4208	4559
480	4216	4549
481	4225	4540
482	4232	4529
483	4238	4519
484	4246	4509
485	4254	4499
486	4262	4489
487	4268	4478
488	4279	4472
489	4288	4463
490	4296	4453
491	4303	4443
492	4311	4434
493	4318	4423
494	4325	4413
495	4332	4401
496	4340	4393
497	4348	4382
498	4355	4373
499	4362	4362
500	4369	4352
501	4376	4341
502	4383	4331
503	4390	4320
504	4397	4310
505	4405	4300
506	4413	4291
507	4419	4280
508	4425	4269
509	4432	4258
510	4439	4248
511	4446	4238
512	4454	4228
513	4462	4219
514	4471	4210
515	4478	4200
516	4486	4191
517	4495	4183
518	4506	4176
519	4516	4168
520	4528	4163
521	4540	4157
522	4552	4151
523	4565	4146
524	4576	4140
525	4589	4135
526	4603	4132
527	4612	4123
528	4623	4116
529	4633	4108
530	4641	4099
531	4650	4091
532	4658	4081
533	4666	4072
534	4674	4062
535	4683	4054
536	4692	4046
537	4702	4038
538	4712	4030
539	4721	4021
540	4729	4012
541	4737	4003
542	4746	3994
543	4754	3985
544	4762	3976
545	4771	3967
546	4780	3958
547	4788	3949
548	4796	3940
549	4806	3932
550	4814	3923
551	4823	3914
552	4831	3905
553	4840	3896
554	4848	3887
555	4856	3878
556	4865	3869
557	4874	3860
558	4882	3851
559	4890	3842
560	4899	3833
561	4907	3825
562	4915	3815
563	4923	3805
564	4931	3796
565	4939	3787
566	4947	3778
567	4955	3769
568	4963	3759
569	4971	3750
570	4980	3741
571	4988	3732
572	4997	3723
573	5005	3714
574	5014	3706
575	5022	3697
576	5032	3689
577	5040	3679
578	5048	3671
579	5057	3662
580	5066	3653
581	5075	3644
582	5084	3636
583	5091	3626
584	5100	3618
585	5108	3609
586	5117	3600
587	5126	3591
588	5134	3582
589	5142	3573
590	5150	3564
591	5158	3555
592	5167	3546
593	5174	3537
594	5183	3528
595	5191	3519
596	5200	3510
597	5208	3501
598	5216	3492
599	5225	3483
600	5233	3474
601	5241	3465
602	5250	3456
603	5259	3448
604	5269	3440
605	5277	3431
606	5286	3422
607	5296	3414
608	5306	3406
609	5315	3398
610	5325	3390
611	5333	3381
612	5342	3373
613	5350	3363
614	5360	3355
615	5368	3346
616	5376	3337
617	5385	3329
618	5394	3320
619	5405	3313
620	5415	3305
621	5424	3296
622	5431	3286
623	5439	3277
624	5447	3268
625	5454	3258
626	5462	3249
627	5471	3240
628	5480	3232
629	5488	3223
630	5496	3214
631	5504	3205
632	5512	3195
633	5529	3192
634	5536	3182
635	5545	3174
636	5553	3164
637	5562	3156
638	5570	3146
639	5577	3137
640	5586	3128
641	5594	3119
642	5602	3110
643	5610	3101
644	5619	3092
645	5627	3083
646	5634	3074
647	5644	3065
648	5652	3056
649	5660	3048
650	5668	3038
651	5677	3030
652	5685	3021
653	5692	3011
654	5700	3002
655	5708	2993
656	5716	2984
657	5724	2975
658	5732	2966
659	5740	2957
660	5748	2948
661	5756	2939
662	5765	2930
663	5773	2921
664	5783	2913
665	5790	2903
666	5797	2894
667	5806	2885
668	5815	2877
669	5824	2868
670	5838	2862
671	5847	2854
672	5856	2845
673	5863	2836
674	5872	2827
675	5882	2819
676	5890	2810
677	5899	2801
678	5908	2793
679	5916	2784
680	5924	2775
681	5932	2766
682	5941	2757
683	5950	2748
684	5959	2740
685	5967	2731
686	5975	2722
687	5984	2713
688	5992	2704
689	6000	2695
690	6008	2687
691	6017	2678
692	6026	2669
693	6034	2660
694	6043	2652
695	6051	2643
696	6059	2634
697	6068	2625
698	6076	2616
699	6085	2608
700	6093	2599
701	6101	2589
702	6109	2581
703	6117	2572
704	6126	2563
705	6133	2554
706	6141	2545
707	6149	2536
708	6157	2527
709	6166	2518
710	6174	2509
711	6183	2501
712	6191	2492
713	6199	2483
714	6208	2474
715	6218	2466
716	6226	2457
717	6235	2448
718	6243	2439
719	6251	2431
720	6262	2423
721	6270	2414
722	6279	2405
723	6287	2396
724	6296	2388
725	6304	2379
726	6313	2370
727	6322	2362
728	6329	2353
729	6337	2344
730	6345	2334
731	6353	2326
732	6361	2317
733	6369	2308
734	6377	2299
735	6384	2290
736	6394	2281
737	6402	2272
738	6411	2264
739	6419	2255
740	6427	2246
741	6434	2237
742	6443	2228
743	6450	2219
744	6460	2211
745	6469	2202
746	6478	2194
747	6489	2186
748	6496	2177
749	6506	2168
750	6515	2160
751	6523	2151
752	6531	2142
753	6541	2134
754	6550	2125
755	6558	2116
756	6567	2108
757	6575	2099
758	6584	2090
759	6592	2081
760	6601	2073
761	6610	2064
762	6621	2056
763	6630	2048
764	6639	2039
765	6652	2032
766	6661	2023
767	6668	2014
768	6677	2005
769	6685	1997
770	6694	1988
771	6703	1979
772	6711	1970
773	6719	1962
774	6728	1953
775	6738	1945
776	6748	1936
777	6757	1928
778	6765	1919
779	6772	1910
780	6781	1901
781	6792	1893
782	6800	1884
783	6811	1876
784	6819	1867
785	6827	1859
786	6835	1850
787	6845	1841
788	6853	1832
789	6860	1823
790	6868	1814
791	6875	1805
792	6882	1796
793	6889	1787
794	6896	1778
795	6904	1769
796	6910	1760
797	6917	1751
798	6924	1742
799	6931	1732
800	6939	1724
801	6947	1715
802	6954	1706
803	6961	1697
804	6969	1688
805	6976	1679
806	6983	1670
807	6990	1661
808	6998	1652
809	7005	1643
810	7013	1634
811	7020	1625
812	7027	1616
813	7036	1607
814	7042	1598
815	7051	1589
816	7059	1581
817	7066	1572
818	7074	1563
819	7083	1554
820	7090	1545
821	7099	1537
822	7108	1528
823	7116	1520
824	7124	1511
825	7134	1502
826	7141	1494
827	7152	1485
828	7161	1477
829	7169	1468
830	7179	1460
831	7189	1451
832	7199	1443
833	7209	1435
834	7219	1426
835	7227	1417
836	7237	1409
837	7246	1400
838	7253	1391
839	7261	1383
840	7269	1374
841	7277	1365
842	7286	1356
843	7295	1348
844	7303	1339
845	7312	1331
846	7321	1322
847	7328	1313
848	7336	1304
849	7345	1296
850	7354	1287
851	7362	1278
852	7370	1270
853	7376	1261
854	7384	1252
855	7391	1243
856	7399	1234
857	7407	1225
858	7415	1217
859	7424	1208
860	7432	1199
861	7444	1191
862	7454	1183
863	7464	1174
864	7471	1166
865	7480	1157
866	7489	1148
867	7496	1140
868	7505	1131
869	7515	1122
870	7525	1114
871	7533	1105
872	7544	1097
873	7552	1088
874	7560	1080
875	7568	1071
876	7575	1062
877	7582	1053
878	7591	1044
879	7598	1036
880	7607	1027
881	7614	1018
882	7621	1009
883	7629	1001
884	7637	992
885	7644	983
886	7651	974
887	7658	965
888	7666	957
889	7674	948
890	7682	939
891	7690	931
892	7697	922
893	7705	913
894	7713	904
895	7720	896
896	7728	887
897	7735	878
898	7743	870
899	7752	861
900	7759	852
901	7768	843
902	7776	835
903	7784	826
904	7792	818
905	7800	809
906	7808	800
907	7816	791
908	7824	783
909	7833	774
910	7841	766
911	7849	757
912	7861	749
913	7871	740
914	7879	731
915	7887	723
916	7895	714
917	7901	705
918	7909	697
919	7918	688
920	7925	679
921	7933	671
922	7940	662
923	7949	653
924	7956	645
925	7966	636
926	7974	627
927	7982	619
928	7989	610
929	7997	601
930	8004	593
931	8012	584
932	8020	575
933	8028	567
934	8036	558
935	8043	549
936	8050	541
937	8059	532
938	8066	524
939	8074	515
940	8082	506
941	8089	498
942	8097	489
943	8105	480
944	8113	472
945	8121	463
946	8128	454
947	8136	446
948	8143	437
949	8151	429
950	8159	420
951	8168	411
952	8175	403
953	8182	394
954	8190	385
955	8197	377
956	8204	368
957	8212	360
958	8220	351
959	8227	342
960	8236	334
961	8244	325
962	8252	317
963	8264	308
964	8271	300
965	8279	291
966	8286	282
967	8292	274
968	8300	265
969	8307	256
970	8314	248
971	8321	239
972	8328	231
973	8335	222
974	8342	213
975	8350	205
976	8357	196
977	8364	188
978	8371	179
979	8379	171
980	8386	162
981	8394	153
982	8401	145
983	8409	136
984	8417	128
985	8426	119
986	8433	111
987	8442	102
988	8453	94
989	8468	85
990	8480	77
991	8488	68
992	8495	59
993	8501	51
994	8509	42
995	8516	34
996	8523	25
997	8530	17
998	8538	8
999	8545	0
